name,coeffs,nd,Vd
BK7,1.039612;0.231792;1.010469;0.00600069867;0.0200179144;103.560653,1.5168,64.17
F2,1.345333;0.209073;0.937357;0.008201;0.021013;120.0,1.6200,36.37
